longitude,latitude,CanopyCover,Aspect,Elevation,SlopeD,CanopyBulkDensity,CanopyBaseHeight,CanopyHeight,40FireBehaviorFuel,PopDensity,BuildingDensity,HUDen
-117.6579405,47.45863617,0.0,-1.0,714.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0
-117.0657095,47.39005953,0.0,-1.0,794.0,1.0,0.0,0.0,0.0,93.0,7.0,32.0,3.0
-117.4853024,47.7706609,45.0,-1.0,521.0,1.0,8.0,3.0,45.0,188.0,35.0,41.0,13.0
-117.6406855,47.46953864,0.0,148.0,728.0,4.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.7319804,47.77112043,25.0,59.0,751.0,3.0,6.0,4.0,25.0,185.0,65.0,41.0,20.0
-117.2877164,47.51183044,0.0,-1.0,752.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.0987581,47.83936005,0.0,144.0,882.0,18.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
-117.6423052,47.57738801,0.0,-1.0,720.0,0.0,0.0,0.0,0.0,121.0,80.0,49.0,23.0
-117.2121365,47.45898611,0.0,255.0,749.0,3.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.3853998,47.87291234,35.0,112.0,585.0,21.0,6.0,10.0,35.0,162.0,55.0,49.0,22.0
-117.2112466,47.90742406,35.0,251.0,852.0,14.0,6.0,40.0,35.0,162.0,0.0,0.0,0.0
-117.6293472,47.67502079,0.0,-1.0,729.0,1.0,0.0,0.0,0.0,98.0,21.0,0.0,0.0
-117.7622245,47.37865305,0.0,198.0,667.0,6.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.1624178,47.58201108,0.0,220.0,944.0,7.0,0.0,0.0,0.0,91.0,30.0,24.0,11.0
-117.1686061,47.4331086,0.0,54.0,796.0,3.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.6756822,47.28839783,0.0,-1.0,638.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
-117.1876244,47.91473309,45.0,184.0,952.0,13.0,8.0,14.0,45.0,142.0,119.0,57.0,35.0
-117.5101137,47.97344503,0.0,-1.0,668.0,1.0,0.0,0.0,0.0,102.0,0.0,81.0,7.0
-117.6907893,47.36517908,0.0,88.0,712.0,3.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0
-117.3609878,47.3670166,0.0,-1.0,763.0,1.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.3719524,47.69878798,0.0,-1.0,623.0,1.0,0.0,0.0,0.0,91.0,3085.0,1525.0,1082.0
-117.4691197,47.52682224,0.0,-1.0,710.0,1.0,0.0,0.0,0.0,141.0,76.0,73.0,33.0
-117.309869,48.04572744,0.0,-1.0,645.0,2.0,0.0,0.0,0.0,102.0,46.0,49.0,18.0
-117.7092354,47.30649157,0.0,270.0,639.0,8.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.6218928,47.6041704,0.0,-1.0,727.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
